species id,,,,,,,,,,,,100,69,69,81,107,48,72,115,47,70,70,40,40,77,58,85,125,76,64,64,80,80,102,111,111,96,53,106,75,75,24,52,71,90,86,34,59,120,39,67,88,88,33,84,114,54,54,66,66,119,93,116,116,31,31,42,42,83,123,118,60,43,121,94,113,117,117,97,27,98,112,49,110,41,73,68,68,103,103,35,28,28,108,105,122,124,124,128,128,89,89,26,25,57,62,95,95,61,32,22,51,51,23,23,127,127,37,37,104,38,46,44,99,99,30,82,82,55,45,29,74,78,78,50,65,36,92,101,101,1586
species gername,,,,,,,,,,,,Habicht,Sperber,Sperber,Drosselrohrsänger,Sumpfrohrsänger,Teichrohrsänger,Schwanzmeise,Feldlerche,Eisvogel,Krickente,Krickente,Stockente,Stockente,Graugans,Baumpieper,Mauersegler,Graureiher,Waldohreule,Tafelente,Tafelente,Reiherente,Reiherente,Mäusebussard,Bluthänfling,Bluthänfling,Stieglitz,Gartenbaumläufer,Weißstorch,Rohrweihe,Rohrweihe,Kernbeißer,Ringeltaube,Kolkrabe,Nebelkrähe,Saatkrähe,Dohle,Kuckuck,Blaumeise,Höckerschwan,Mehlschwalbe,Buntspecht,Buntspecht,Mittelspecht,Kleinspecht,Schwarzspecht,Goldammer,Goldammer,Rohrammer,Rohrammer,Rotkehlchen,Wanderfalke,Turmfalke,Turmfalke,Trauerschnäpper,Trauerschnäpper,Buchfink,Buchfink,Blässhuhn,Haubenlerche,Teichhuhn,Eichelhäher,Kranich,Gelbspötter,Rauchschwalbe,Wendehals,Neuntöter,Neuntöter,Sturmmöwe,Lachmöwe,Feldschwirl,Haubenmeise,Nachtigall,Schwarzmilan,Rotmilan,Bachstelze,Steinschmätzer,Steinschmätzer,Pirol,Pirol,Kohlmeise,Haussperling,Haussperling,Feldsperling,Tannenmeise,Kormoran,Fasan,Fasan,Hausrotschwanz,Hausrotschwanz,Gartenrotschwanz,Gartenrotschwanz,Zilpzalp,Waldlaubsänger,Fitis,Elster,Grünspecht,Grünspecht,Haubentaucher,Sumpfmeise,Heckenbraunelle,Gimpel,Gimpel,Wintergoldhähnchen,Wintergoldhähnchen,Braunkehlchen,Braunkehlchen,Girlitz,Girlitz,Kleiber,Türkentaube,Waldkauz,Star,Mönchsgrasmücke,Mönchsgrasmücke,Gartengrasmücke,Dorngrasmücke,Dorngrasmücke,Klappergrasmücke,Sperbergrasmücke,Zwergtaucher,Zaunkönig,Amsel,Amsel,Singdrossel,Wacholderdrossel,Stadttaube,Seidenschwanz,Grünfink,Grünfink,Mandarinente
genus,,,,,,,,,,,,unisex,male,female,unisex,unisex,unisex,unisex,unisex,unisex,female,male,female,male,unisex,unisex,unisex,unisex,unisex,female,male,female,male,unisex,female,male,unisex,unisex,unisex,male,female,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,male,female,unisex,unisex,unisex,female,male,female,male,unisex,unisex,female,male,female,male,female,male,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,female,male,unisex,unisex,unisex,unisex,unisex,unisex,unisex,unisex,female,male,female,male,unisex,female,male,unisex,unisex,unisex,female,male,female,male,female,male,unisex,unisex,unisex,unisex,male,female,unisex,unisex,unisex,female,male,female,male,female,male,male,female,unisex,unisex,unisex,unisex,female,male,unisex,female,male,unisex,unisex,unisex,unisex,female,male,unisex,unisex,unisex,unisex,male,female,unisex
gername,engname,gerdescription,engdescription,weight,singleChoice,value id,value gername,value engname,value colors,value dots,value image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,42,"wie Amsel, Tauben, Turmfalke (20−40 cm)","Like blackbird, pigeon, kestrel (20-40 cm)",,,/uploads/Koerpergroesse_4_dfac773dca.svg,9,64,51,12,3,4,0,10,17,38,38,1,1,0,5,28,0,39,3,3,6,6,2,0,0,1,0,0,2,2,19,85,1,3,3,63,86,0,1,6,90,90,71,34,37,2,2,1,1,0,28,83,83,1,1,3,3,53,7,77,88,0,1,9,39,25,25,28,79,0,0,12,0,0,5,11,11,82,82,0,0,0,1,0,1,1,1,5,5,1,1,0,1,2,15,78,78,12,1,0,7,7,0,0,3,3,1,1,2,96,50,62,1,1,1,2,2,2,14,74,0,90,90,93,96,96,48,2,2,5
,,,,,,43,"wie Meisen, Spatz (8−20 cm)","Like tits, sparrows (8-20 cm)",,,/uploads/Koerpergroesse_5_c8091d05e5.svg,0,1,1,88,97,96,100,90,83,0,0,1,1,0,95,71,0,0,1,1,1,1,0,100,100,99,100,0,0,0,81,0,0,0,0,0,1,100,0,94,4,4,25,63,2,98,98,98,98,100,1,1,1,99,99,97,97,3,92,0,2,0,99,91,60,74,74,3,0,100,100,88,0,0,94,88,88,14,14,100,98,98,99,100,0,0,0,95,95,99,99,100,97,97,0,0,0,0,99,100,93,93,98,98,96,96,98,98,98,0,2,37,99,99,99,98,98,98,84,12,99,10,10,6,4,0,51,98,98,0
Schnabelfarbe,Beak colour,"Wähle alle Farben aus, die du siehst. ",Select all colours you see. ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,44,weiß,White,#fefefe,,,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,11,11,1,1,1,0,0,25,2,0,0,0,4,2,0,0,11,0,1,1,0,0,0,0,1,2,8,2,2,0,0,1,1,0,0,0,0,3,3,70,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13,24,24,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,1,1,1,2,1,5,3,0,0,0,1,1,0,1,18,0,0,0,0,0,3,8,0,0,0
,,,,,,45,hellbraun bis cremefarben,Light brown to cream,"#b18c66,#e8d5c8",,,4,2,2,18,23,25,0,42,0,5,5,5,5,2,28,0,3,7,3,3,2,2,2,9,9,31,17,1,5,5,21,1,0,1,5,0,3,3,2,1,1,1,0,3,20,8,8,20,20,5,2,4,4,1,1,26,26,3,36,2,1,32,15,6,49,4,4,8,2,19,2,20,1,1,5,2,2,3,3,2,27,27,2,1,6,21,21,2,2,2,2,28,22,20,2,16,16,6,2,14,1,1,0,0,2,2,28,28,1,2,19,7,7,7,30,15,15,4,10,11,15,4,0,12,8,11,4,19,19,0
,,,,,,46,grau,Grey,"#8c9698,#b7becf,#c0b4be",,,27,36,36,20,23,17,12,20,14,25,25,5,5,2,23,20,24,50,35,35,48,48,14,65,65,13,23,2,36,36,49,5,17,11,57,30,38,32,15,24,35,35,60,52,46,69,69,43,43,36,33,39,39,21,21,53,53,2,36,3,25,33,20,27,40,34,34,8,0,21,29,27,10,19,26,15,15,10,10,34,31,31,17,29,38,43,43,61,19,30,17,25,11,17,14,46,46,26,29,24,23,23,14,14,14,14,44,44,61,51,32,17,68,68,30,41,41,53,50,10,13,8,8,11,15,2,44,39,39,0
,,,,,,47,"rotbraun, dunkelbraun bis mittelbraun","Reddish brown, dark brown to medium brown","#713520,#634f4d,#907a76",,,3,3,3,18,10,14,1,10,5,12,12,40,6,3,16,4,0,8,5,5,1,1,1,6,6,1,18,2,5,5,2,0,0,1,1,0,11,2,2,8,1,1,2,3,1,7,7,9,9,13,1,1,1,10,10,2,2,0,10,0,5,4,5,4,7,6,6,2,6,16,3,16,5,1,3,6,6,5,5,2,4,4,5,1,0,4,4,9,9,7,7,17,5,13,2,3,3,9,2,16,3,3,3,3,10,10,4,4,1,1,1,5,3,3,13,11,11,6,8,8,15,12,8,19,4,2,4,1,1,0
,,,,,,48,schwarz,Black,#161c29,,,37,29,29,11,7,13,86,3,58,51,51,14,14,2,7,76,8,32,38,38,32,32,38,18,18,4,25,5,35,35,3,0,82,86,22,68,16,56,32,60,63,63,37,40,8,12,12,25,25,41,24,15,15,62,62,4,4,0,7,2,69,1,3,59,1,56,56,23,24,15,66,12,43,16,64,77,77,14,14,53,9,9,64,68,17,1,1,24,66,59,72,8,9,8,81,24,24,21,66,34,73,73,81,81,73,73,4,4,30,43,1,14,21,21,6,9,9,24,16,30,13,6,6,21,18,1,40,2,2,0
,,,,,,49,gelb,Yellow,"#fbc51a,#f0d94d,#f8e671",,,29,28,28,5,12,13,0,15,0,5,5,17,47,5,4,0,26,1,0,0,0,0,42,1,1,3,4,0,19,19,1,25,0,0,2,0,27,2,2,5,0,0,0,0,16,0,0,1,1,2,38,40,40,2,2,0,0,1,8,43,0,22,16,3,1,0,0,44,0,15,0,17,39,49,0,0,0,1,1,5,24,24,11,0,24,7,7,3,3,2,2,9,15,16,1,5,5,1,1,6,0,0,0,0,0,0,4,4,0,0,33,46,0,0,2,15,15,11,9,14,31,59,20,31,39,7,0,2,2,0
,,,,,,50,orange,Orange,"#f18100,#ed9409",,,0,0,0,18,21,13,0,4,9,2,2,17,23,62,6,0,34,0,0,0,0,0,1,0,0,0,2,11,0,0,0,36,0,0,0,1,2,0,33,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,3,0,3,0,3,26,0,0,0,0,2,3,10,0,5,1,14,0,0,0,12,12,1,1,1,1,0,1,0,0,1,1,0,0,8,16,17,0,0,0,3,0,4,0,0,1,1,0,0,1,1,0,0,0,7,0,0,1,4,4,2,1,6,12,10,57,5,16,2,0,1,1,5
